#    L    TT             EE             TE             PP             TP          
   209    0.56724E+04    0.69193E+00   -0.29457E+01    0.25318E+07    0.15256E+04
   210    0.56794E+04    0.70040E+00   -0.15023E+01    0.25197E+07    0.15108E+04
   211    0.56857E+04    0.71007E+00   -0.41365E-01    0.25076E+07    0.14963E+04
   212    0.56913E+04    0.72096E+00    0.14362E+01    0.24957E+07    0.14819E+04
   213    0.56964E+04    0.73313E+00    0.29304E+01    0.24838E+07    0.14677E+04
   214    0.57008E+04    0.74656E+00    0.44400E+01    0.24721E+07    0.14538E+04
   215    0.57045E+04    0.76145E+00    0.59644E+01    0.24604E+07    0.14400E+04
   216    0.57076E+04    0.77762E+00    0.75039E+01    0.24488E+07    0.14264E+04
   217    0.57102E+04    0.79521E+00    0.90566E+01    0.24373E+07    0.14130E+04
   218    0.57121E+04    0.81424E+00    0.10623E+02    0.24259E+07    0.13997E+04
   219    0.57134E+04    0.83469E+00    0.12203E+02    0.24146E+07    0.13866E+04
   220    0.57141E+04    0.85673E+00    0.13794E+02    0.24034E+07    0.13738E+04
   221    0.57141E+04    0.88027E+00    0.15396E+02    0.23922E+07    0.13610E+04
   222    0.57136E+04    0.90546E+00    0.17009E+02    0.23812E+07    0.13485E+04
   223    0.57123E+04    0.93224E+00    0.18634E+02    0.23702E+07    0.13361E+04
   224    0.57106E+04    0.96060E+00    0.20266E+02    0.23593E+07    0.13239E+04
   225    0.57082E+04    0.99069E+00    0.21908E+02    0.23485E+07    0.13118E+04
   226    0.57051E+04    0.10225E+01    0.23558E+02    0.23378E+07    0.12999E+04
   227    0.57014E+04    0.10561E+01    0.25216E+02    0.23271E+07    0.12881E+04
   228    0.56972E+04    0.10914E+01    0.26881E+02    0.23166E+07    0.12765E+04
   229    0.56924E+04    0.11284E+01    0.28551E+02    0.23061E+07    0.12651E+04
   230    0.56869E+04    0.11673E+01    0.30227E+02    0.22957E+07    0.12538E+04
   231    0.56807E+04    0.12081E+01    0.31908E+02    0.22853E+07    0.12426E+04
   232    0.56739E+04    0.12507E+01    0.33594E+02    0.22751E+07    0.12316E+04
   233    0.56666E+04    0.12953E+01    0.35281E+02    0.22649E+07    0.12208E+04
   234    0.56585E+04    0.13419E+01    0.36972E+02    0.22548E+07    0.12100E+04
   235    0.56499E+04    0.13903E+01    0.38665E+02    0.22448E+07    0.11994E+04
